"codigo","actividad_economica","afecta_iva","categoria"
"120001","Elaboración de cigarros y cigarrillos",,
"120009","Elaboración de otros productos de tabaco n.c.p.",,
"131100","Preparación e hilatura de fibras textiles",,
"139300","Fabricación de tapices y alfombras",,
"139400","Fabricación de cuerdas, cordeles, bramantes y redes",,
"139100","Fabricación de tejidos de punto y ganchillo",,
"143000","Fabricación de artículos de punto y ganchillo",,
"141001","Fabricación de prendas de vestir de materiales textiles y similares",,
"141002","Fabricación de prendas de vestir de cuero natural o artificial",,
"141003","Fabricación de accesorios de vestir",,
"131300","Acabado de productos textiles",,
"141004","Fabricación de ropa de trabajo",,
"142000","Fabricación de artículos de piel",,
"151100","Curtido y adobo de cueros; adobo y teñido de pieles",,
"152000","Fabricación de calzado",,
"161000","Aserrado y acepilladura de madera",,
"162100","Fabricación de hojas de madera para enchapado y tableros a base de madera",,
"162200","Fabricación de partes y piezas de carpintería para edificios y construcciones",,
"162300","Fabricación de recipientes de madera",,
"170110","Fabricación de celulosa y otras pastas de madera",,
"170190","Fabricación de papel y cartón para su posterior uso industrial n.c.p.",,
"170200","Fabricación de papel y cartón ondulado y de envases de papel y cartón",,
"181101","Impresión de libros",,
"181200","Actividades de servicios relacionadas con la impresión",,
"182000","Reproducción de grabaciones",,
"192000","Fabricación de productos de la refinación del petróleo",,
"201101","Fabricación de carbón vegetal (excepto activado); fabricación de briquetas de carbón vegetal",,
"191000","Fabricación de productos de hornos de coque",,
"201200","Fabricación de abonos y compuestos de nitrógeno",,
"201300","Fabricación de plásticos y caucho sintético en formas primarias",,
"202100","Fabricación de plaguicidas y otros productos químicos de uso agropecuario",,
"581100","Edición de libros",,
"202200","Fabricación de pinturas, barnices y productos de revestimiento, tintas de imprenta y masillas",,
"210000","Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos",,
"202300","Fabricación de jabones y detergentes, preparados para limpiar, perfumes y preparados de tocador",,
"202901","Fabricación de explosivos y productos pirotécnicos",,
"107909","Elaboración de otros productos alimenticios n.c.p.",,
"201109","Fabricación de otras sustancias químicas básicas n.c.p.",,
"268000","Fabricación de soportes magnéticos y ópticos",,
"203000","Fabricación de fibras artificiales",,
"221100","Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho",,
"231001","Fabricación de vidrio plano",,
"231002","Fabricación de vidrio hueco",,
"231003","Fabricación de fibras de vidrio",,
"231009","Fabricación de productos de vidrio n.c.p.",,
"239300","Fabricación de otros productos de porcelana y de cerámica",,
"239100","Fabricación de productos refractarios",,
"239200","Fabricación de materiales de construcción de arcilla",,
"239400","Fabricación de cemento, cal y yeso",,
"239500","Fabricación de artículos de hormigón, cemento y yeso",,
"239600","Corte, talla y acabado de la piedra",,
"131200","Tejedura de productos textiles",,
"239900","Fabricación de otros productos minerales no metálicos n.c.p.",,
"241000","Industrias básicas de hierro y acero",,
"242001","Fabricación de productos primarios de cobre",,
"242002","Fabricación de productos primarios de aluminio",,
"242009","Fabricación de productos primarios de metales preciosos y de otros metales no ferrosos n.c.p.",,
"243100","Fundición de hierro y acero",,
"243200","Fundición de metales no ferrosos",,
"251100","Fabricación de productos metálicos para uso estructural",,
"251201","Fabricación de recipientes de metal para gases comprimidos o licuados",,
"251209","Fabricación de tanques, depósitos y recipientes de metal n.c.p.",,
"251300","Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central",,
"259100","Forja, prensado, estampado y laminado de metales; pulvimetalurgia",,
"16200","Actividades de apoyo a la ganadería",,
"181109","Otras actividades de impresión n.c.p.",,
"259200","Tratamiento y revestimiento de metales; maquinado",,
"281300","Fabricación de otras bombas, compresores, grifos y válvulas",,
"281200","Fabricación de equipo de propulsión de fluidos",,
"281400","Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión",,
"741001","Actividades de diseño de vestuario",,
"282100","Fabricación de maquinaria agropecuaria y forestal",,
"331201","Reparación de maquinaria agropecuaria y forestal",,
"281800","Fabricación de herramientas de mano motorizadas",,
"282300","Fabricación de maquinaria metalúrgica",,
"282400","Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción",,
"331202","Reparación de maquinaria metalúrgica, para la minería, extracción de petróleo y para la construcción",,
"282500","Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",,
"331203","Reparación de maquinaria para la elaboración de alimentos, bebidas y tabaco",,
"331204","Reparación de maquinaria para producir textiles, prendas de vestir, artículos de cuero y calzado",,
"252000","Fabricación de armas y municiones",,
"304000","Fabricación de vehículos militares de combate",,
"259300","Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",,
"282600","Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",,
"275000","Fabricación de aparatos de uso doméstico",,
"281500","Fabricación de hornos, calderas y quemadores",,
"262000","Fabricación de computadores y equipo periférico",,
"271000","Fabricación de motores, generadores y transformadores eléctricos, aparatos de distribución y control",,
"273200","Fabricación de otros hilos y cables eléctricos",,
"272000","Fabricación de pilas, baterías y acumuladores",,
"273300","Fabricación de dispositivos de cableado",,
"274000","Fabricación de equipo eléctrico de iluminación",,
"282200","Fabricación de maquinaria para la conformación de metales y de máquinas herramienta",,
"279000","Fabricación de otros tipos de equipo eléctrico",,
"331400","Reparación de equipo eléctrico (excepto reparación de equipo y enseres domésticos)",,
"261000","Fabricación de componentes y tableros electrónicos",,
"263000","Fabricación de equipo de comunicaciones",,
"266000","Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico",,
"325001","Actividades de laboratorios dentales",,
"281900","Fabricación de otros tipos de maquinaria de uso general",,
"331301","Reparación de equipo de medición, prueba, navegación y control",,
"265100","Fabricación de equipo de medición, prueba, navegación y control",,
"325009","Fabricación de instrumentos y materiales médicos, oftalmológicos y odontológicos n.c.p.",,
"267000","Fabricación de instrumentos ópticos y equipo fotográfico",,
"273100","Fabricación de cables de fibra óptica",,
"265200","Fabricación de relojes",,
"291000","Fabricación de vehículos automotores",,
"292000","Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques",,
"331100","Reparación de productos elaborados de metal",,
"139200","Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir",,
"301200","Construcción de embarcaciones de recreo y de deporte",,
"331501","Reparación de buques, embarcaciones menores y estructuras flotantes",,
"331502","Reparación de aeronaves y naves espaciales",,
"281100","Fabricación de motores y turbinas, excepto para aeronaves, vehículos automotores y motocicletas",,
"309100","Fabricación de motocicletas",,
"281600","Fabricación de equipo de elevación y manipulación",,
"309900","Fabricación de otros tipos de equipo de transporte n.c.p.",,
"310001","Fabricación de muebles principalmente de madera",,
"281700","Fabricación de maquinaria y equipo de oficina (excepto computadores y equipo periférico)",,
